dynamics_loss_epoch,dynamics_loss_step,epoch,initial_omega_loss_epoch,initial_omega_loss_step,initial_theta_loss_epoch,initial_theta_loss_step,step,train_loss_epoch,train_loss_step
,0.02252878062427044,0,,0.10139123350381851,,0.22249442338943481,49,,0.3464144429004117
0.057966772466897964,,0,0.10003076493740082,,0.31158432364463806,,62,0.469581825843793,
,0.02927207760512829,1,,0.13527421653270721,,0.1743914783000946,99,,0.3389377717441054
0.019655337557196617,,1,0.13432975113391876,,0.17567846179008484,,125,0.32966360028475694,
,0.006353843491524458,2,,0.12701374292373657,,0.18438220024108887,149,,0.31774978535372705
0.014910620637238026,,2,0.13876250386238098,,0.1707279086112976,,188,0.324401019171434,
,0.022805096581578255,3,,0.14401313662528992,,0.16485220193862915,199,,0.3316704367826563
,0.002088739536702633,3,,0.13941361010074615,,0.16977733373641968,249,,0.31127967567749437
0.012029293924570084,,3,0.13969269394874573,,0.16959987580776215,,251,0.3213218246680128,
,0.0016104616224765778,4,,0.1343025416135788,,0.17573244869709015,299,,0.31164545312534825
0.010557673871517181,,4,0.14193135499954224,,0.16728132963180542,,314,0.319770374780844,
,0.0019141798838973045,5,,0.1398305594921112,,0.1694609671831131,349,,0.31120570156709115
0.00993402861058712,,5,0.14427754282951355,,0.16517692804336548,,377,0.3193884728036167,
,0.020526686683297157,6,,0.16159887611865997,,0.14710617065429688,399,,0.3292317317260355
0.00896852370351553,,6,0.14487619698047638,,0.16450853645801544,,440,0.3183532711220777,
,0.007901221513748169,7,,0.1477503776550293,,0.1608130782842636,449,,0.31646467080963175
,0.014649846591055393,7,,0.12767383456230164,,0.18362045288085938,499,,0.32594413596266647
0.008196691051125526,,7,0.14634491503238678,,0.16349679231643677,,503,0.31803840413074286,
,0.013602008111774921,8,,0.13764247298240662,,0.17191137373447418,549,,0.32315584435007516
0.007601586170494556,,8,0.1460290253162384,,0.16379575431346893,,566,0.31742633608328447,
,0.00344684231095016,9,,0.15841208398342133,,0.15030540525913239,599,,0.31216433284070666
0.007140347268432379,,9,0.1461406797170639,,0.16273759305477142,,629,0.3160186204496065,
,0.005085266660898924,10,,0.15907178819179535,,0.14995898306369781,649,,0.3141160438009658
0.00663498230278492,,10,0.1468140184879303,,0.1622237116098404,,692,0.31567269984284463,
,0.010973160155117512,11,,0.15369336307048798,,0.15500886738300323,699,,0.31967538707712195
,0.00944164115935564,11,,0.1589147448539734,,0.14972685277462006,749,,0.3180832436523243
0.006637114100158215,,11,0.1468103677034378,,0.16262367367744446,,755,0.316071131554061,
,0.013807443901896477,12,,0.14905564486980438,,0.1598142385482788,799,,0.3226773203313337
0.0059833768755197525,,12,0.1485290229320526,,0.16051264107227325,,818,0.3150250139157773,
,0.003104213625192642,13,,0.15603411197662354,,0.15249003469944,849,,0.3116283582136025
0.0057622347958385944,,13,0.14799994230270386,,0.1611798256635666,,881,0.3149419960162647,
,0.0009737501386553049,14,,0.15015606582164764,,0.1584242284297943,899,,0.30955404863049346
0.00533795403316617,,14,0.1482262909412384,,0.16063882410526276,,944,0.3142030281943914,
