dynamics_loss_epoch,dynamics_loss_step,epoch,initial_omega_loss_epoch,initial_omega_loss_step,initial_theta_loss_epoch,initial_theta_loss_step,step,train_loss_epoch,train_loss_step
,0.055751822888851166,0,,0.07317200303077698,,0.3392467498779297,49,,0.4681705826226179
0.1929710954427719,,0,0.07686997205018997,,0.5928636193275452,,62,0.8627046847119784,
,0.023847561329603195,1,,0.05809176713228226,,0.348075270652771,99,,0.4300145995259294
0.04007478430867195,,1,0.05568847805261612,,0.34981662034988403,,125,0.44557982767131693,
,0.010690770111978054,2,,0.0657183900475502,,0.3341241478919983,149,,0.4105332977955406
0.04222632572054863,,2,0.07038476318120956,,0.31900838017463684,,188,0.43161946979401333,
,0.013451216742396355,3,,0.074674092233181,,0.3048880696296692,199,,0.3930133678248968
,0.02562939003109932,3,,0.07889127731323242,,0.29396888613700867,249,,0.3984895641664836
0.043758492916822433,,3,0.07917666435241699,,0.2987372577190399,,251,0.42167238284248476,
,0.10172013938426971,4,,0.08352752774953842,,0.28704771399497986,299,,0.47229538471230015
0.0357690192759037,,4,0.08237481117248535,,0.2929273545742035,,314,0.41107121032746463,
,0.011680405586957932,5,,0.09045770764350891,,0.2685126066207886,349,,0.37065071260090193
0.045532744377851486,,5,0.09268895536661148,,0.2669063210487366,,377,0.4051280486338031,
,0.22001789510250092,6,,0.11411750316619873,,0.20923738181591034,399,,0.543372776557371
0.05102135241031647,,6,0.10270244628190994,,0.24263973534107208,,440,0.39636348263259524,
,0.10618774592876434,7,,0.11829514801502228,,0.20650890469551086,449,,0.43099179758564493
,0.013645117171108723,7,,0.11674797534942627,,0.21415528655052185,499,,0.3445483719046548
0.04219726845622063,,7,0.11276295781135559,,0.22132116556167603,,503,0.37628136476411417,
,0.005727792624384165,8,,0.1354929655790329,,0.17527338862419128,549,,0.3164941424555797
0.042957525700330734,,8,0.12031149119138718,,0.20409834384918213,,566,0.3673674010333543,
,0.009613152593374252,9,,0.12908779084682465,,0.21541079878807068,599,,0.35411175259423255
0.03609555587172508,,9,0.12479866296052933,,0.19763407111167908,,629,0.3585282724983552,
,0.004881289787590504,10,,0.14077439904212952,,0.17335791885852814,649,,0.31901359535923
0.02521534636616707,,10,0.12875939905643463,,0.18920274078845978,,692,0.3431774849194574,
,0.006860337220132351,11,,0.1669839322566986,,0.14228679239749908,699,,0.3161310565750856
,0.006715299561619759,11,,0.11499718576669693,,0.20229960978031158,749,,0.3240120908847474
0.029486648738384247,,11,0.13303643465042114,,0.18399912118911743,,755,0.3465222023457781,
,0.005955658853054047,12,,0.14337581396102905,,0.16734939813613892,799,,0.3166808788674683
0.01905781216919422,,12,0.13679450750350952,,0.17711476981639862,,818,0.33296712413265295,
,0.004739953204989433,13,,0.12779361009597778,,0.1867700070142746,849,,0.3193035656691274
0.016098765656352043,,13,0.13752324879169464,,0.17467765510082245,,881,0.3282996752992993,
,0.0014289625687524676,14,,0.12689852714538574,,0.18517465889453888,899,,0.31350215099913203
0.014837484806776047,,14,0.13930083811283112,,0.172679603099823,,944,0.3268179233571811,
,0.0033131761010736227,15,,0.14808104932308197,,0.1613486111164093,949,,0.31274283532477454
,0.006129101850092411,15,,0.12019722908735275,,0.1924620121717453,999,,0.31878834706534864
0.01353045366704464,,15,0.14123305678367615,,0.1703042834997177,,1007,0.3250677786374686,
,0.0026256076525896788,16,,0.12101124972105026,,0.1917484849691391,1049,,0.31538534741257396
0.011834307573735714,,16,0.1420288234949112,,0.17037636041641235,,1070,0.3242394660856012,
,0.005753468256443739,17,,0.12735606729984283,,0.184201180934906,1099,,0.31731071903187236
0.012079499661922455,,17,0.14063365757465363,,0.17092494666576385,,1133,0.3236380782573807,
,0.0014991099014878273,18,,0.158414825797081,,0.15113362669944763,1149,,0.31104756675156087
