dynamics_loss_epoch,dynamics_loss_step,epoch,initial_omega_loss_epoch,initial_omega_loss_step,initial_theta_loss_epoch,initial_theta_loss_step,step,train_loss_epoch,train_loss_step
,0.031044671311974525,0,,0.06474576145410538,,0.35042813420295715,49,,0.44621857779527174
0.062200166285037994,,0,0.0626080185174942,,0.36340445280075073,,62,0.48821263406955384,
,0.024060823023319244,1,,0.07210415601730347,,0.3313106298446655,99,,0.4274756089684326
0.04001602530479431,,1,0.06852750480175018,,0.33488306403160095,,125,0.44342656028263094,
,0.022437425330281258,2,,0.07444831728935242,,0.31972065567970276,149,,0.4166064134005919
0.03764979913830757,,2,0.0717523917555809,,0.3247787356376648,,188,0.4341808913424392,
,0.022443199530243874,3,,0.07829510420560837,,0.29927918314933777,199,,0.4000175025028423
,0.14277178049087524,3,,0.08413175493478775,,0.2900576591491699,249,,0.5169611947309207
0.040286771953105927,,3,0.07746456563472748,,0.30803555250167847,,251,0.42578693728999034,
,0.007690641563385725,4,,0.08681409806013107,,0.2749136984348297,299,,0.36941844246519506
0.0343349389731884,,4,0.08079521358013153,,0.2998819649219513,,314,0.41501207333802737,
,0.019639315083622932,5,,0.0965404063463211,,0.2786444425582886,349,,0.39482416979784773
0.06397823244333267,,5,0.08846966922283173,,0.281716912984848,,377,0.43416478009210313,
,0.003368552541360259,6,,0.08314429223537445,,0.285887748003006,399,,0.3724005836976705
0.05781984329223633,,6,0.10217560082674026,,0.24521905183792114,,440,0.4052145038094794,
,0.006157477851957083,7,,0.08710520714521408,,0.26466548442840576,449,,0.35792816317840903
,0.006472314242273569,7,,0.11929908394813538,,0.20189213752746582,499,,0.32766353710279783
0.03131035715341568,,7,0.10869547724723816,,0.22970928251743317,,503,0.3697150979466275,
,0.02225758694112301,8,,0.12519121170043945,,0.21540725231170654,549,,0.3628560454011293
0.03613915294408798,,8,0.11568866670131683,,0.2134760320186615,,566,0.3653038828599836,
,0.018395842984318733,9,,0.11314225941896439,,0.20980297029018402,599,,0.34134107667163327
0.026945022866129875,,9,0.12340397387742996,,0.1979292780160904,,629,0.34827828339564765,
,0.014267094433307648,10,,0.08108876645565033,,0.2623943090438843,649,,0.3577501535826049
0.02614498697221279,,10,0.12876366078853607,,0.18928328156471252,,692,0.344191917477072,
,0.015693536028265953,11,,0.15936137735843658,,0.1607653796672821,699,,0.33582029370271954
,0.008647932671010494,11,,0.1267676055431366,,0.19443680346012115,749,,0.3298523460510329
0.02355019375681877,,11,0.12896275520324707,,0.18895788490772247,,755,0.3414708493760327,
,0.0005922553827986121,12,,0.13524644076824188,,0.17729198932647705,799,,0.3131306820450396
0.02111053839325905,,12,0.13330237567424774,,0.18045645952224731,,818,0.33486937130696043,
,0.002199324779212475,13,,0.1226358488202095,,0.1907673478126526,849,,0.31560251285100216
0.019375251606106758,,13,0.13162413239479065,,0.18339766561985016,,881,0.3343970312902036,
,0.005095606669783592,14,,0.120294950902462,,0.1959526538848877,899,,0.3213432188685484
