dynamics_loss_epoch,dynamics_loss_step,epoch,initial_omega_loss_epoch,initial_omega_loss_step,initial_theta_loss_epoch,initial_theta_loss_step,step,train_loss_epoch,train_loss_step
93.12666320800781,,0,18.15922737121582,,28.63908576965332,,31,139.9249725341797,
,106.1581039428711,1,,15.810484886169434,,69.91918182373047,49,,191.8877716064453
103.26545715332031,,1,6.105044841766357,,30.999977111816406,,63,140.37049865722656,
99.3441390991211,,2,4.388047695159912,,56.75154113769531,,95,160.48373413085938,
,85.07858276367188,3,,1.9774374961853027,,4.340179920196533,99,,91.39620208740234
90.3401107788086,,3,5.8711771965026855,,4.76885986328125,,127,100.98014831542969,
,47.56897735595703,4,,0.0026476047933101654,,2.119325876235962,149,,49.69095230102539
48.20276641845703,,4,3.9784977436065674,,7.958600044250488,,159,60.13985061645508,
2.7029709815979004,,5,0.19420811533927917,,3.9393203258514404,,191,6.83650016784668,
,2.6466119289398193,6,,0.017722271382808685,,3.0007834434509277,199,,5.6651177406311035
1.7851530313491821,,6,0.08539015054702759,,3.135972261428833,,223,5.006514072418213,
,1.3589236736297607,7,,0.23161649703979492,,3.2242908477783203,249,,4.814830780029297
1.5155733823776245,,7,0.15550854802131653,,3.0000357627868652,,255,4.671116828918457,
2.080379009246826,,8,0.07534845918416977,,2.6904029846191406,,287,4.846129894256592,
,1.1267428398132324,9,,1.1255699396133423,,3.3467791080474854,299,,5.59909200668335
2.024548053741455,,9,0.14309105277061462,,2.983577251434326,,319,5.151215553283691,
,1.65445077419281,10,,0.07844273746013641,,2.6515467166900635,349,,4.3844404220581055
1.6224627494812012,,10,0.055594004690647125,,3.062767505645752,,351,4.740824222564697,
1.9797728061676025,,11,0.13414175808429718,,2.467075824737549,,383,4.580989837646484,
,0.8244296908378601,12,,0.2961237132549286,,2.9053361415863037,399,,4.0258893966674805
1.4237651824951172,,12,0.10400597006082535,,2.8178513050079346,,415,4.3456220626831055,
1.4176160097122192,,13,0.22311441600322723,,2.7884299755096436,,447,4.429160118103027,
,0.9121110439300537,14,,0.004869332071393728,,2.7134015560150146,449,,3.6303818225860596
1.6411925554275513,,14,0.07768978178501129,,2.449885845184326,,479,4.16876745223999,
,1.0004390478134155,15,,0.0009483753237873316,,2.669271469116211,499,,3.670659065246582
1.3977001905441284,,15,0.1764785796403885,,2.468700408935547,,511,4.042879104614258,
1.7872684001922607,,16,0.10568185150623322,,2.171909809112549,,543,4.064859867095947,
,1.9508378505706787,17,,0.6526231169700623,,1.9382659196853638,549,,4.541727066040039
1.480094075202942,,17,0.17455653846263885,,2.390195846557617,,575,4.044846534729004,
,1.9095048904418945,18,,0.1494995355606079,,1.7414768934249878,599,,3.8004813194274902
1.5942423343658447,,18,0.13443700969219208,,2.4125771522521973,,607,4.141256332397461,
1.529293417930603,,19,0.11112897843122482,,2.410346746444702,,639,4.050769329071045,
,1.6315075159072876,20,,0.3328167498111725,,2.071563720703125,649,,4.035888195037842
1.6195794343948364,,20,0.11606594920158386,,2.2787370681762695,,671,4.0143818855285645,
,1.0952779054641724,21,,0.1905311644077301,,2.677133083343506,699,,3.962942123413086
1.439288854598999,,21,0.13098253309726715,,2.5185558795928955,,703,4.088827133178711,
1.781316876411438,,22,0.1187652200460434,,2.5931036472320557,,735,4.493185043334961,
,0.9000554084777832,23,,0.11394234001636505,,3.1827173233032227,749,,4.196715354919434
1.5653250217437744,,23,0.10489930212497711,,2.3562726974487305,,767,4.0264973640441895,
,2.0089075565338135,24,,0.18774965405464172,,1.8979017734527588,799,,4.0945587158203125
1.6874909400939941,,24,0.24001015722751617,,2.1194300651550293,,799,4.046931743621826,
1.4493788480758667,,25,0.17123202979564667,,2.273909568786621,,831,3.894519805908203,
,1.0907211303710938,26,,0.003721599467098713,,2.665227174758911,849,,3.7596700191497803
1.4698482751846313,,26,0.10595674812793732,,2.469052314758301,,863,4.044857501983643,
1.6076816320419312,,27,0.12714755535125732,,2.2304086685180664,,895,3.965237617492676,
,1.4616551399230957,28,,0.3940279483795166,,1.9376009702682495,899,,3.7932839393615723
1.6768388748168945,,28,0.23338405787944794,,2.1993141174316406,,927,4.109536647796631,
,0.935509204864502,29,,0.2207418531179428,,2.2938554286956787,949,,3.450106382369995
1.4315268993377686,,29,0.0931134968996048,,2.1520769596099854,,959,3.676717519760132,
1.7451305389404297,,30,0.26932817697525024,,2.075965642929077,,991,4.090424060821533,
,3.610900640487671,31,,0.25430500507354736,,1.8727436065673828,999,,5.737949371337891
1.6997528076171875,,31,0.12359961122274399,,2.24977970123291,,1023,4.073132038116455,
,1.2372537851333618,32,,0.018028277903795242,,2.7481062412261963,1049,,4.003388404846191
1.498849630355835,,32,0.1427985280752182,,2.31018328666687,,1055,3.951831102371216,
1.8026493787765503,,33,0.28575608134269714,,2.3289618492126465,,1087,4.417366981506348,
,1.2978887557983398,34,,0.008587456308305264,,2.0903360843658447,1099,,3.3968122005462646
1.7337656021118164,,34,0.07615112513303757,,2.112133264541626,,1119,3.9220504760742188,
,4.708707332611084,35,,0.48765310645103455,,1.3504154682159424,1149,,6.546775817871094
1.9119184017181396,,35,0.24138392508029938,,2.054204225540161,,1151,4.20750617980957,
1.564039707183838,,36,0.12614478170871735,,2.2436704635620117,,1183,3.933854818344116,
,2.965130567550659,37,,0.3484295606613159,,1.8469133377075195,1199,,5.160473823547363
1.4594230651855469,,37,0.17816849052906036,,2.190073251724243,,1215,3.8276636600494385,
1.6686307191848755,,38,0.24212174117565155,,2.432246208190918,,1247,4.342998504638672,
,0.8195810914039612,39,,0.19961215555667877,,2.620131492614746,1249,,3.63932466506958
1.6440597772598267,,39,0.18988512456417084,,2.0648841857910156,,1279,3.8988289833068848,
,1.837019681930542,40,,0.011117778718471527,,2.2805840969085693,1299,,4.128721237182617
