dynamics_loss_epoch,dynamics_loss_step,epoch,initial_omega_loss_epoch,initial_omega_loss_step,initial_theta_loss_epoch,initial_theta_loss_step,step,train_loss_epoch,train_loss_step
,0.09964606165885925,0,,0.0024780426174402237,,0.0455109179019928,49,,0.14763501286506653
14.046401023864746,,0,0.011471751146018505,,0.0461733303964138,,62,14.104049682617188,
,0.006133464630693197,1,,0.000673378468491137,,0.054174646735191345,99,,0.06098148971796036
0.010673620738089085,,1,0.0008103918517008424,,0.05360031500458717,,125,0.06508433818817139,
,0.006709710694849491,2,,0.0008714062278158963,,0.05301535129547119,149,,0.060596466064453125
0.005442585796117783,,2,0.0008155131945386529,,0.05351012572646141,,188,0.059768207371234894,
,0.004449549131095409,3,,0.0007054012967273593,,0.05404413118958473,199,,0.05919908359646797
,0.005737476982176304,3,,0.0009222631342709064,,0.052842892706394196,249,,0.059502631425857544
0.004855592735111713,,3,0.000803143426310271,,0.05349009856581688,,251,0.05914882570505142,
,0.005021736957132816,4,,0.0008363497327081859,,0.05324924737215042,299,,0.05910733342170715
0.004515961278229952,,4,0.0008087395690381527,,0.05338085815310478,,314,0.05870554596185684,
,0.004133451730012894,5,,0.0008200930897146463,,0.05314195156097412,349,,0.05809549614787102
0.004327140748500824,,5,0.0008522482821717858,,0.05309689790010452,,377,0.05827626958489418,
,0.0032943689730018377,6,,0.0006231426959857345,,0.054183248430490494,399,,0.058100759983062744
0.004035688005387783,,6,0.0008089274633675814,,0.053269919008016586,,440,0.05811454355716705,
,0.004069135058671236,7,,0.0010331517551094294,,0.05221406742930412,449,,0.05731635540723801
,0.004971941001713276,7,,0.0009653248707763851,,0.052306629717350006,499,,0.05824389308691025
0.003982319962233305,,7,0.0008632864919491112,,0.05289704352617264,,503,0.0577426515519619,
,0.0023176376707851887,8,,0.0005749877309426665,,0.05450146645307541,549,,0.05739409103989601
0.0037786350585520267,,8,0.0008611544617451727,,0.05288315191864967,,566,0.05752294883131981,
,0.0033544704783707857,9,,0.0006904802867211401,,0.05365455523133278,599,,0.05769950523972511
0.0036631780676543713,,9,0.0008665494387969375,,0.05278090760111809,,629,0.057310618460178375,
,0.005528242792934179,10,,0.0010024185758084059,,0.05209723487496376,649,,0.0586278960108757
0.0035298143047839403,,10,0.000892990967258811,,0.05260862782597542,,692,0.057031434029340744,
,0.0027149703819304705,11,,0.0008164731552824378,,0.052881836891174316,699,,0.056413277983665466
,0.005451104138046503,11,,0.0011225085472688079,,0.051427002996206284,749,,0.05800061672925949
0.00337030878290534,,11,0.0009083831100724638,,0.0524606816470623,,755,0.05673938989639282,
,0.0038272016681730747,12,,0.0009546304354444146,,0.05216434225440025,799,,0.056946177035570145
0.0034155556932091713,,12,0.0009450218640267849,,0.052242547273635864,,818,0.05660313367843628,
,0.002119683660566807,13,,0.0010326275369152427,,0.05168098956346512,849,,0.0548333004117012
0.0032847675029188395,,13,0.0009502911707386374,,0.05215998739004135,,881,0.056395046412944794,
