dynamics_loss_epoch,dynamics_loss_step,epoch,initial_omega_loss_epoch,initial_omega_loss_step,initial_theta_loss_epoch,initial_theta_loss_step,step,train_loss_epoch,train_loss_step
82.07051086425781,,0,6.603520393371582,,29.04256248474121,,31,117.71660614013672,
,79.61307525634766,1,,0.23410800099372864,,0.5288717150688171,49,,80.37605285644531
66.66278839111328,,1,0.8292877674102783,,0.49889421463012695,,63,67.990966796875,
60.51460266113281,,2,2.2481515407562256,,2.1169159412384033,,95,64.87967681884766,
,0.265142560005188,3,,0.30782461166381836,,6.17836856842041,99,,6.751335620880127
6.425922393798828,,3,0.278194785118103,,4.7077507972717285,,127,11.41186809539795,
,0.45015597343444824,4,,0.1139485239982605,,4.054605484008789,149,,4.618709564208984
1.5028774738311768,,4,0.09205689281225204,,3.4345757961273193,,159,5.029509544372559,
1.5582541227340698,,5,0.0983509048819542,,2.802323341369629,,191,4.45892858505249,
,3.1397392749786377,6,,0.019289053976535797,,1.134907603263855,199,,4.293935775756836
2.373833656311035,,6,0.14987713098526,,1.6583281755447388,,223,4.182039737701416,
,1.4916229248046875,7,,0.008387411013245583,,1.5510329008102417,249,,3.0510432720184326
2.033677101135254,,7,0.1472262442111969,,1.7281560897827148,,255,3.909059524536133,
1.5222687721252441,,8,0.2699645757675171,,0.7446340918540955,,287,2.536867618560791,
,2.1427056789398193,9,,0.414596825838089,,0.3267918527126312,299,,2.88409423828125
1.259596824645996,,9,0.2892515957355499,,0.5185959339141846,,319,2.0674448013305664,
,1.0290923118591309,10,,0.32641857862472534,,0.6628211140632629,349,,2.018332004547119
1.0672303438186646,,10,0.2678736448287964,,0.24745316803455353,,351,1.5825570821762085,
0.8940706253051758,,11,0.1386864185333252,,0.19338233768939972,,383,1.2261394262313843,
,0.9540795683860779,12,,0.015024319291114807,,0.2875654399394989,399,,1.256669282913208
0.7189319133758545,,12,0.18768280744552612,,0.1435876339673996,,415,1.0502023696899414,
0.6750462055206299,,13,0.13677120208740234,,0.1339966207742691,,447,0.9458138942718506,
,0.5459532737731934,14,,0.02038455754518509,,0.06269463896751404,449,,0.6290324926376343
0.6418535113334656,,14,0.08604943007230759,,0.08549295365810394,,479,0.8133959174156189,
,0.21051105856895447,15,,1.2475444236770272e-05,,0.07575337588787079,499,,0.2862769067287445
0.651959240436554,,15,0.07904881238937378,,0.07559150457382202,,511,0.8065995573997498,
0.5828044414520264,,16,0.18639998137950897,,0.11036235839128494,,543,0.8795667886734009,
,0.6281158924102783,17,,0.392444372177124,,0.004993399139493704,549,,1.0255537033081055
0.5315380096435547,,17,0.1540316939353943,,0.07085835188627243,,575,0.7564280033111572,
,0.25256311893463135,18,,0.19061994552612305,,0.0689932182431221,599,,0.5121762752532959
0.7347322702407837,,18,0.06186123564839363,,0.08575291186571121,,607,0.882346510887146,
0.48536986112594604,,19,0.12252788990736008,,0.06950507313013077,,639,0.677402913570404,
,0.19270935654640198,20,,0.03347869962453842,,0.10551924258470535,649,,0.33170729875564575
0.5577670931816101,,20,0.06654610484838486,,0.07256079465150833,,671,0.6968740224838257,
,0.5826548933982849,21,,0.037116639316082,,0.05743727087974548,699,,0.6772087812423706
0.4895953834056854,,21,0.05980338156223297,,0.07479818165302277,,703,0.6241968274116516,
0.4639527499675751,,22,0.035418957471847534,,0.05164704471826553,,735,0.5510188937187195,
,0.34215036034584045,23,,0.1227661669254303,,0.1209513396024704,749,,0.5858678817749023
0.5841357707977295,,23,0.1116112545132637,,0.04241819307208061,,767,0.7381651997566223,
,0.35401713848114014,24,,0.05652720108628273,,0.013550966046750546,799,,0.4240953028202057
0.5887822508811951,,24,0.09710545092821121,,0.06299547106027603,,799,0.7488831281661987,
0.43745630979537964,,25,0.09766115993261337,,0.048247676342725754,,831,0.5833652019500732,
,0.3070388436317444,26,,0.03360997512936592,,0.012655421160161495,849,,0.3533042371273041
0.4800439476966858,,26,0.02001158334314823,,0.03759969398379326,,863,0.537655234336853,
0.4933599531650543,,27,0.04253653064370155,,0.02128700353205204,,895,0.5571834444999695,
,0.9869239330291748,28,,4.2332153782354e-08,,0.10781680792570114,899,,1.0947407484054565
0.49627685546875,,28,0.07020480185747147,,0.06447692215442657,,927,0.6309584379196167,
,0.9031086564064026,29,,0.1130027174949646,,0.08918147534132004,949,,1.105292797088623
0.39200305938720703,,29,0.11041224002838135,,0.031144795939326286,,959,0.5335601568222046,
0.4391162395477295,,30,0.11220113933086395,,0.041449833661317825,,991,0.5927672386169434,
,0.2862098813056946,31,,0.0019032284617424011,,0.015904000028967857,999,,0.3040170967578888
0.4471006393432617,,31,0.020815853029489517,,0.03085869364440441,,1023,0.49877509474754333,
,0.21708573400974274,32,,0.14344047009944916,,0.005070106126368046,1049,,0.36559629440307617
0.4073697626590729,,32,0.03144241124391556,,0.030459042638540268,,1055,0.4692712426185608,
0.3994552791118622,,33,0.036039773374795914,,0.039996497333049774,,1087,0.47549161314964294,
,0.2945147454738617,34,,0.0032411974389106035,,0.005313332658261061,1099,,0.30306926369667053
0.41468966007232666,,34,0.03543354198336601,,0.037031639367341995,,1119,0.48715487122535706,
,0.6301274299621582,35,,0.01868899166584015,,0.022527145221829414,1149,,0.6713435649871826
0.34311702847480774,,35,0.0749121904373169,,0.03193560987710953,,1151,0.44996488094329834,
0.36032649874687195,,36,0.09829869866371155,,0.039722997695207596,,1183,0.4983481764793396,
,0.3138141632080078,37,,0.0018755896016955376,,0.045129094272851944,1199,,0.36081886291503906
0.4289245307445526,,37,0.04005371779203415,,0.028886690735816956,,1215,0.4978649914264679,
0.311366468667984,,38,0.053622182458639145,,0.026274671778082848,,1247,0.39126330614089966,
,0.8741514682769775,39,,0.0008124975138343871,,0.015499383211135864,1249,,0.8904633522033691
0.42168980836868286,,39,0.04724423214793205,,0.020189018920063972,,1279,0.48912304639816284,
,0.14067687094211578,40,,0.000738627219107002,,0.04960358887910843,1299,,0.19101908802986145
0.36047303676605225,,40,0.021224739030003548,,0.021705785766243935,,1311,0.4034034013748169,
0.3617570400238037,,41,0.06028510630130768,,0.027440683916211128,,1343,0.44948285818099976,
,0.1518566906452179,42,,0.009411215782165527,,0.04096193611621857,1349,,0.202229842543602
0.29971393942832947,,42,0.04930182918906212,,0.031161298975348473,,1375,0.3801770806312561,
,0.733685314655304,43,,0.09488818794488907,,9.44098985655728e-08,1399,,0.8285735845565796
0.3167435824871063,,43,0.03220263123512268,,0.01953066699206829,,1407,0.368476927280426,
0.36977022886276245,,44,0.09977647662162781,,0.021877029910683632,,1439,0.4914237856864929,
,0.43842050433158875,45,,0.22299720346927643,,0.004944032058119774,1449,,0.6663617491722107
0.28464850783348083,,45,0.1514604240655899,,0.03631702810525894,,1471,0.4724259078502655,
,0.39543190598487854,46,,0.009124166332185268,,0.026349982246756554,1499,,0.4309060573577881
0.2752818167209625,,46,0.015622468665242195,,0.020557040348649025,,1503,0.31146129965782166,
0.3531506359577179,,47,0.026684779673814774,,0.025681782513856888,,1535,0.4055171608924866,
,0.2526229918003082,48,,0.028886165469884872,,0.07775992900133133,1549,,0.35926908254623413
0.2935677766799927,,48,0.02932211384177208,,0.02575933374464512,,1567,0.348649263381958,
,0.26702356338500977,49,,0.2738015949726105,,0.01694721356034279,1599,,0.5577723979949951
0.28442996740341187,,49,0.10623469203710556,,0.023143891245126724,,1599,0.41380858421325684,
0.27468234300613403,,50,0.057350434362888336,,0.015960758551955223,,1631,0.34799352288246155,
,0.42429640889167786,51,,0.02051544561982155,,0.00152156304102391,1649,,0.4463334083557129
0.27407175302505493,,51,0.03609734773635864,,0.019152561202645302,,1663,0.32932162284851074,
0.27735769748687744,,52,0.018640665337443352,,0.015804773196578026,,1695,0.3118031322956085,
,0.47294262051582336,53,,0.0010800707386806607,,0.0012449930654838681,1699,,0.4752676784992218
0.3194936215877533,,53,0.021704159677028656,,0.021008936688303947,,1727,0.36220669746398926,
,0.20087820291519165,54,,0.21266530454158783,,0.027247609570622444,1749,,0.44079113006591797
0.29961657524108887,,54,0.07871351391077042,,0.017776569351553917,,1759,0.3961067199707031,
0.2611188292503357,,55,0.03963188827037811,,0.017179090529680252,,1791,0.31792977452278137,
,0.31656065583229065,56,,0.11934952437877655,,0.00018854370864573866,1799,,0.43609872460365295
0.2985847294330597,,56,0.026701990514993668,,0.013176706619560719,,1823,0.33846336603164673,
,0.46623730659484863,57,,0.004969381727278233,,0.016876887530088425,1849,,0.4880835711956024
0.2671221196651459,,57,0.015187405049800873,,0.016739238053560257,,1855,0.2990487515926361,
0.3272428810596466,,58,0.0187323447316885,,0.018730055540800095,,1887,0.36470529437065125,
,0.1300140768289566,59,,0.00011273370910203084,,0.027700094506144524,1899,,0.15782690048217773
