dynamics_loss_epoch,dynamics_loss_step,epoch,initial_omega_loss_epoch,initial_omega_loss_step,initial_theta_loss_epoch,initial_theta_loss_step,step,train_loss_epoch,train_loss_step
,0.10816234350204468,0,,0.05142242833971977,,0.36080989241600037,49,,0.5203946753445423
0.08176121115684509,,0,0.053277526050806046,,0.36794954538345337,,62,0.5029883223435582,
,0.07797092944383621,1,,0.06939336657524109,,0.3346154987812042,99,,0.4819797783589601
0.04129170626401901,,1,0.06752613931894302,,0.32859721779823303,,125,0.43741511022369106,
,0.04165872186422348,2,,0.07825728505849838,,0.3000399172306061,149,,0.419955927524784
0.046623311936855316,,2,0.07766109704971313,,0.3078146278858185,,188,0.4320990657458053,
,0.005987427197396755,3,,0.09275348484516144,,0.29742181301116943,199,,0.396162713616929
,0.06416624784469604,3,,0.08051016926765442,,0.296053946018219,249,,0.4407303655210999
0.043357964605093,,3,0.08094830065965652,,0.3025991916656494,,251,0.42690548244647963,
,0.03193125128746033,4,,0.08699260652065277,,0.2796798646450043,299,,0.39860371081973767
0.03693048283457756,,4,0.08649804443120956,,0.2864692509174347,,314,0.409897829631409,
,0.10276103019714355,5,,0.08824717253446579,,0.26852065324783325,349,,0.4595288701760692
0.05688181892037392,,5,0.09371756762266159,,0.2674543559551239,,377,0.41805375458440563,
,0.027797622606158257,6,,0.11381983757019043,,0.22610750794410706,399,,0.36772496216047734
0.03657698631286621,,6,0.10877994447946548,,0.2299347072839737,,440,0.3752916271312432,
,0.013349655084311962,7,,0.15581701695919037,,0.1685846894979477,449,,0.3377513619892174
,0.008593648672103882,7,,0.11880519986152649,,0.21376746892929077,499,,0.34116631849124124
0.034106913954019547,,7,0.1184091791510582,,0.2065156251192093,,503,0.35903173527128435,
,0.00860563199967146,8,,0.08299270272254944,,0.25172412395477295,549,,0.3433224740981079
0.02770107612013817,,8,0.1270550787448883,,0.1936107575893402,,566,0.3483669309951864,
,0.011713762767612934,9,,0.147020161151886,,0.1659618765115738,599,,0.3246958015625895
0.019514767453074455,,9,0.12924715876579285,,0.18629832565784454,,629,0.3350602673901573,
,0.007321008015424013,10,,0.14235757291316986,,0.16809514164924622,649,,0.3177737198167019
0.01958274655044079,,10,0.13282617926597595,,0.18147744238376617,,692,0.3338864007837718,
,0.006144408136606216,11,,0.16573356091976166,,0.14740604162216187,699,,0.3192840080376028
