dynamics_loss_epoch,dynamics_loss_step,epoch,initial_omega_loss_epoch,initial_omega_loss_step,initial_theta_loss_epoch,initial_theta_loss_step,step,train_loss_epoch,train_loss_step
133.33779907226562,,0,34.49470138549805,,62.88858413696289,,31,230.7210693359375,
,37.54612731933594,1,,0.39341092109680176,,0.016917934641242027,49,,37.95645523071289
39.99385070800781,,1,0.5188400149345398,,4.63637638092041,,63,45.149051666259766,
3.1806585788726807,,2,0.22549831867218018,,3.625847578048706,,95,7.032005310058594,
,0.8796118497848511,3,,1.4054137468338013,,5.8224568367004395,99,,8.107481956481934
2.578876495361328,,3,0.28032276034355164,,3.5843844413757324,,127,6.443583965301514,
,0.8923166990280151,4,,0.15298375487327576,,4.58979606628418,149,,5.635096549987793
1.7819275856018066,,4,0.13369809091091156,,3.418499231338501,,159,5.3341264724731445,
1.7925567626953125,,5,0.11860387027263641,,2.9584248065948486,,191,4.86958646774292,
,1.6702122688293457,6,,0.026480715721845627,,4.50944709777832,199,,6.206140041351318
1.7872982025146484,,6,0.08720071613788605,,3.037766218185425,,223,4.912265777587891,
,1.5302499532699585,7,,0.01040523499250412,,2.4307219982147217,249,,3.971377372741699
1.7796123027801514,,7,0.04133051633834839,,2.84946346282959,,255,4.670405864715576,
1.536747694015503,,8,0.22279702126979828,,3.1978349685668945,,287,4.95737886428833,
,2.767101764678955,9,,0.12584760785102844,,2.1377508640289307,299,,5.030700206756592
1.4799498319625854,,9,0.05924024432897568,,2.967437267303467,,319,4.506627082824707,
,1.4795467853546143,10,,0.1760694980621338,,1.7446999549865723,349,,3.4003162384033203
1.6186578273773193,,10,0.11135068535804749,,2.6926705837249756,,351,4.4226789474487305,
1.4476951360702515,,11,0.184768944978714,,2.795503854751587,,383,4.427968502044678,
,2.9152729511260986,12,,0.008401785045862198,,1.9824899435043335,399,,4.906164646148682
2.175628900527954,,12,0.09717599302530289,,2.52610182762146,,415,4.798907279968262,
1.6026877164840698,,13,0.077030248939991,,2.637815475463867,,447,4.317533493041992,
,0.823332667350769,14,,0.2623014450073242,,2.6397619247436523,449,,3.725396156311035
1.4830095767974854,,14,0.22294431924819946,,2.5763864517211914,,479,4.2823405265808105,
,0.9434106349945068,15,,0.0298711359500885,,2.8575329780578613,499,,3.830814838409424
1.5355113744735718,,15,0.13380074501037598,,2.5881879329681396,,511,4.257500171661377,
1.8859065771102905,,16,0.105963796377182,,2.564053535461426,,543,4.555923938751221,
,1.5769779682159424,17,,0.12771271169185638,,1.6475011110305786,549,,3.352191925048828
2.088345527648926,,17,0.11521001160144806,,2.349808692932129,,575,4.553363800048828,
,2.249767303466797,18,,0.0784558653831482,,2.3498709201812744,599,,4.678093910217285
1.8891956806182861,,18,0.26231086254119873,,2.241642713546753,,607,4.393148899078369,
1.526206374168396,,19,0.14722543954849243,,2.388248920440674,,639,4.061680793762207,
,3.037022590637207,20,,0.2396245002746582,,1.2718945741653442,649,,4.54854154586792
1.7223384380340576,,20,0.15418986976146698,,2.2164523601531982,,671,4.092981815338135,
,1.2524935007095337,21,,0.05054960772395134,,2.247771978378296,699,,3.5508151054382324
1.5048383474349976,,21,0.13817353546619415,,2.177694797515869,,703,3.8207061290740967,
1.5723845958709717,,22,0.09939608722925186,,2.052769660949707,,735,3.724550247192383,
,5.020569801330566,23,,0.055488474667072296,,0.6833032369613647,749,,5.759361267089844
2.006500720977783,,23,0.1216401681303978,,1.9598610401153564,,767,4.088001728057861,
,2.7810020446777344,24,,0.4291050136089325,,1.2932685613632202,799,,4.50337553024292
1.6415499448776245,,24,0.19381697475910187,,2.1465301513671875,,799,3.9818978309631348,
1.6062791347503662,,25,0.12085067480802536,,1.8693656921386719,,831,3.596496105194092,
,2.2540369033813477,26,,0.0652589276432991,,1.859259843826294,849,,4.178555488586426
1.761781096458435,,26,0.2505981922149658,,1.7973307371139526,,863,3.8097100257873535,
1.6426132917404175,,27,0.27850136160850525,,1.965505838394165,,895,3.88662052154541,
,0.8517099618911743,28,,0.3803502321243286,,2.6116580963134766,899,,3.8437180519104004
1.5656880140304565,,28,0.23291990160942078,,2.1278951168060303,,927,3.9265029430389404,
,1.144605040550232,29,,0.02047186717391014,,1.9016988277435303,949,,3.0667757987976074
1.984936237335205,,29,0.18604232370853424,,1.8081674575805664,,959,3.979146718978882,
1.5602458715438843,,30,0.34596875309944153,,1.1385271549224854,,991,3.0447421073913574,
,0.5753200650215149,31,,0.45643579959869385,,1.1204283237457275,999,,2.152184247970581
1.6896181106567383,,31,0.6593982577323914,,0.7099830508232117,,1023,3.0589993000030518,
,0.7715388536453247,32,,0.13452386856079102,,0.000909622642211616,1049,,0.906972348690033
1.4137797355651855,,32,0.6940750479698181,,0.6557021737098694,,1055,2.7635576725006104,
1.2372570037841797,,33,0.5047348737716675,,0.5735239386558533,,1087,2.3155159950256348,
,2.2784624099731445,34,,0.6609582901000977,,0.016944071277976036,1099,,2.956364631652832
1.0435676574707031,,34,0.475508451461792,,0.42923566699028015,,1119,1.948311686515808,
,2.581472158432007,35,,1.1863445043563843,,0.013822464272379875,1149,,3.7816390991210938
1.317230224609375,,35,0.31981655955314636,,0.1987200677394867,,1151,1.8357667922973633,
0.7375310063362122,,36,0.19975747168064117,,0.21048568189144135,,1183,1.1477742195129395,
,0.5304977893829346,37,,0.05462399125099182,,0.151411235332489,1199,,0.7365330457687378
0.7960206866264343,,37,0.2426171898841858,,0.17623554170131683,,1215,1.2148736715316772,
1.0336922407150269,,38,0.05465996637940407,,0.11928979307413101,,1247,1.2076420783996582,
,0.5075659155845642,39,,0.013084594160318375,,0.3652476966381073,1249,,0.885898232460022
0.5866363644599915,,39,0.28102606534957886,,0.17536452412605286,,1279,1.0430270433425903,
,0.5715299844741821,40,,0.06573878973722458,,0.023971660062670708,1299,,0.6612404584884644
